CC_CARD	FREDAYS	WEB	Sales per Visit
0	333	0	184.23
0	171.5	0	38.5
0	213	0	150.326667
1	71.4	1	104.24
1	145	0	782.08
0	447	0	79
0	118	0	172.99
0	73.8	0	21.276
0	276	0	87.48
0	67.75	0	26.8025
0	346	0	107.745
1	342.5	0	79.49
0	111	0	58.75
1	70.2	0	59.195
1	126.66	0	179.603333
1	130.5	0	135.81
1	114.5	0	76.58
0	293	0	73
0	78	0	83.97
1	29.44	0	96.675556
0	112.6	0	48.974
1	76	0	87.675
0	172.25	0	44.7425
0	338.5	0	141.225
1	701	0	234.99
0	121	0	81.143333
0	181	0	153.326667
0	322	0	232.89
1	60.7	1	116.379
1	76.77	0	58.243333
1	115.16	0	75.41
0	610	0	182.5
1	47.2	0	50.02
0	27.4	0	83.948
1	46	0	71.855333
1	38.11	0	30.705882
0	133	0	140.49
0	33.35	0	24.3175
0	96.83	0	58.815
0	608	0	116.75
0	241	0	41.985
0	293.5	0	63.5
1	45.06	1	154.974
0	11.26	0	133.284615
0	26.4	0	88.887
1	36	0	152.096
1	198.33	0	169.326667
0	293	0	284.49
0	34.6	0	40.396
0	267	0	184.47
0	181	0	127
1	73	0	145.67
0	48.16	0	85.868333
0	202	0	88
0	81	0	72.01
0	86.6	0	63.098
0	141.5	0	123.105
0	246	0	104.48
0	224.5	0	72.49
0	164.33	0	37.656667
1	56.5	0	157.055
1	87.12	0	278.86625
1	211.66	0	215.48
0	281	0	152.98
0	90.5	0	23.1825
0	68	0	170.97
0	82.25	0	117.015
1	214	0	152.31
1	38.94	0	233.813333
1	155.66	0	106.663333
1	145	0	58.735
0	130.33	0	160.16
0	59	0	89.97
0	285	0	87.99
0	143.5	0	55.575
0	29	0	339
0	449	0	86.99
0	300	0	56.73
0	108	0	197
1	60	0	51.5
1	40.23	0	133.739412
1	512	0	176.97
1	99.6	0	70.034
1	38.66	0	172.473333
1	105	0	271.888
0	128	0	210
0	223	0	34.49
0	249	0	77.97
0	149	0	67.97
1	31.72	1	65.528182
0	85	0	153.94
0	239	0	165
1	156.33	0	36.166667
1	636	0	268.75
0	339	0	68.99
0	317	0	77.48
0	351	0	124
0	86	0	156.64
0	99	0	146.47
0	19.6	0	40.462
0	193.66	0	26.743333
0	496	0	96.97
0	454	0	242
1	9.68	0	120.557451
0	145.25	0	49.7375
0	45.57	0	68.462857
0	143	0	69.99
1	16.5	0	132.98
0	81.5	0	132
0	245	0	167.48
0	287	0	97
0	310	0	94
1	79	0	159.87
0	139	0	119.97
0	355	0	68
0	143	0	201.72
1	46.12	0	82.64875
0	343	0	38.085
1	54.5	0	150.395
0	673	0	39.98
1	59.3	0	39.993
1	29.9	0	38.572727
0	98.33	0	149.663333
