Type,Alcohol_flag,Sugar_flag
Red,High,High
Red,High,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,High,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,High
Red,Low,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,High,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,High,Low
Red,High,High
Red,Low,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,High,High
Red,High,High
Red,Low,Low
Red,High,High
Red,High,Low
Red,High,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,High,High
Red,Low,Low
Red,High,Low
Red,High,High
Red,Low,High
Red,High,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,High
Red,Low,High
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,High
Red,High,Low
Red,High,High
Red,Low,High
Red,High,Low
Red,High,Low
Red,High,High
Red,High,High
Red,Low,Low
Red,High,High
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,High
Red,Low,Low
Red,High,High
Red,Low,Low
Red,Low,High
Red,Low,High
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,High
Red,Low,High
Red,Low,High
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,High,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,Low,High
Red,High,High
Red,Low,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,Low,High
Red,High,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,High
Red,Low,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,High
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,High
Red,Low,High
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,Low,Low
Red,High,High
Red,High,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,Low,High
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,Low
Red,High,High
Red,Low,Low
Red,High,Low
Red,High,Low
Red,Low,High
Red,High,High
Red,Low,High
Red,High,Low
Red,High,High
Red,Low,Low
Red,Low,High
Red,High,High
Red,High,Low
Red,High,Low
Red,High,Low
Red,Low,Low
Red,High,Low
Red,Low,Low
Red,Low,Low
Red,High,High
Red,Low,High
Red,High,Low
Red,Low,Low
